Age,Gender,Education Level,Job Title,Years of Experience,Salary
38,Male,Master's Degree,Senior HR Generalist,8,95000
27,Female,High School,Junior HR Generalist,1,32000
33,Male,Bachelor's Degree,Web Developer,5,70000
42,Female,Master's Degree,Director of HR,12,120000
29,Male,Master's Degree,Senior Human Resources Manager,4,70000
36,Female,Master's Degree,Web Developer,7,85000
30,Male,High School,Junior HR Coordinator,2,33000
43,Female,PhD,Senior Human Resources Manager,15,150000
34,Male,Bachelor's Degree,Junior Web Developer,3,50000
25,Female,Master's Degree,Junior HR Generalist,1,32000
37,Male,PhD,Director of HR,11,115000
24,Female,Bachelor's Degree,Web Developer,1,40000
39,Male,Master's Degree,Senior HR Generalist,10,105000
31,Male,High School,Junior HR Generalist,2,35000
44,Female,PhD,Director of HR,13,135000
28,Male,Bachelor's Degree,Web Developer,4,65000
32,Female,Master's Degree,Senior Human Resources Manager,6,80000
45,Male,PhD,Director of HR,14,140000
26,Female,Bachelor's Degree,Junior Web Developer,2,45000
38,Male,Master's Degree,Senior HR Generalist,8,95000
27,Female,High School,Junior HR Generalist,1,32000
33,Male,Bachelor's Degree,Web Developer,5,70000
42,Female,Master's Degree,Director of HR,12,120000
29,Male,Master's Degree,Senior Human Resources Manager,4,70000
36,Female,Master's Degree,Web Developer,7,85000
30,Male,High School,Junior HR Coordinator,2,33000
43,Female,PhD,Senior Human Resources Manager,15,150000
34,Male,Bachelor's Degree,Junior Web Developer,3,50000
25,Female,Master's Degree,Junior HR Generalist,1,32000
37,Male,PhD,Director of HR,11,115000
24,Female,Bachelor's Degree,Web Developer,1,40000
39,Male,Master's Degree,Senior HR Generalist,10,105000
31,Male,High School,Junior HR Generalist,2,35000
44,Female,PhD,Director of HR,13,135000
28,Male,Bachelor's Degree,Web Developer,4,65000
32,Female,Master's Degree,Senior Human Resources Manager,6,80000
45,Male,PhD,Director of HR,14,140000
26,Female,Bachelor's Degree,Junior Web Developer,2,45000
38,Male,Master's Degree,Senior HR Generalist,8,95000
27,Female,High School,Junior HR Generalist,1,32000
33,Male,Bachelor's Degree,Web Developer,5,70000
42,Female,Master's Degree,Director of HR,12,120000
29,Male,Master's Degree,Senior Human Resources Manager,4,70000
36,Female,Master's Degree,Web Developer,7,85000
30,Male,High School,Junior HR Coordinator,2,33000
43,Female,PhD,Senior Human Resources Manager,15,150000
34,Male,Bachelor's Degree,Junior Web Developer,3,50000
25,Female,Master's Degree,Junior HR Generalist,1,32000
37,Male,PhD,Director of HR,11,115000
24,Female,Bachelor's Degree,Web Developer,1,40000
39,Male,Master's Degree,Senior HR Generalist,10,105000
31,Male,High School,Junior HR Generalist,2,35000
44,Female,PhD,Director of HR,13,135000
28,Male,Bachelor's Degree,Web Developer,4,65000
32,Female,Master's Degree,Senior Human Resources Manager,6,80000
45,Male,PhD,Director of HR,14,140000
26,Female,Bachelor's Degree,Junior Web Developer,2,45000
38,Male,Master's Degree,Senior HR Generalist,8,95000
27,Female,High School,Junior HR Generalist,1,32000
33,Male,Bachelor's Degree,Web Developer,5,70000
42,Female,Master's Degree,Director of HR,12,120000
29,Male,Master's Degree,Senior Human Resources Manager,4,70000
36,Female,Master's Degree,Web Developer,7,85000
30,Male,High School,Junior HR Coordinator,2,33000
43,Female,PhD,Senior Human Resources Manager,15,150000
34,Male,Bachelor's Degree,Junior Web Developer,3,50000
25,Female,Master's Degree,Junior HR Generalist,1,32000
37,Male,PhD,Director of HR,11,115000
28,Male,Bachelor's Degree,Software Engineer,3,60000
37,Female,Master's Degree,Marketing Manager,9,100000
43,Male,PhD,Data Scientist,15,150000
31,Female,Bachelor's Degree,Human Resources Coordinator,4,55000
24,Male,High School,Junior Sales Associate,1,30000
29,Female,Master's Degree,Software Developer,5,70000
35,Male,Bachelor's Degree,Operations Manager,8,90000
26,Female,Master's Degree,Marketing Coordinator,2,40000
42,Male,PhD,Data Scientist,12,130000
34,Female,Bachelor's Degree,Human Resources Manager,6,75000
27,Male,High School,Junior Sales Associate,2,35000
38,Female,Master's Degree,Marketing Manager,10,110000
30,Male,Bachelor's Degree,Software Engineer,4,65000
45,Male,PhD,Data Scientist,18,180000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
40,Female,Master's Degree,Human Resources Manager,11,120000
33,Male,Bachelor's Degree,Operations Manager,6,75000
29,Female,High School,Junior Sales Associate,1,30000
44,Male,PhD,Data Scientist,16,160000
26,Male,Bachelor's Degree,Software Developer,3,60000
36,Female,Master's Degree,Marketing Coordinator,8,85000
31,Male,Bachelor's Degree,Operations Manager,5,70000
27,Female,Master's Degree,Human Resources Coordinator,3,50000
42,Male,PhD,Data Scientist,13,140000
34,Female,Bachelor's Degree,Human Resources Manager,6,75000
28,Male,High School,Junior Sales Associate,2,35000
39,Female,Master's Degree,Marketing Manager,10,110000
31,Male,Bachelor's Degree,Software Engineer,4,65000
45,Male,PhD,Data Scientist,18,180000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
40,Female,Master's Degree,Human Resources Manager,11,120000
33,Male,Bachelor's Degree,Operations Manager,6,75000
29,Female,High School,Junior Sales Associate,1,30000
44,Male,PhD,Data Scientist,16,160000
26,Male,Bachelor's Degree,Software Developer,3,60000
36,Female,Master's Degree,Marketing Coordinator,8,85000
31,Male,Bachelor's Degree,Operations Manager,5,70000
27,Female,Master's Degree,Human Resources Coordinator,3,50000
42,Male,PhD,Data Scientist,13,140000
34,Female,Bachelor's Degree,Human Resources Manager,6,75000
28,Male,High School,Junior Sales Associate,2,35000
39,Female,Master's Degree,Marketing Manager,10,110000
31,Male,Bachelor's Degree,Software Engineer,4,65000
45,Male,PhD,Data Scientist,18,180000
25,Female,Bachelor's Degree,Junior Software Developer,1,35000
40,Female,Master's Degree,Human Resources Manager,11,120000
33,Male,Bachelor's Degree,Operations Manager,6,75000
29,Female,High School,Junior Sales Associate,1,30000
44,Male,PhD,Data Scientist,16,160000
